from_category,to_category,substitution_score,correlation
energy_drink,sports_drink,-0.9092379555639273,0.9092379555639273
energy_drink,tea,-0.8876474347246277,0.8876474347246277
energy_drink,coffee_drink,-0.4730816156380086,0.4730816156380086
energy_drink,water_enhanced,-0.8813543060581729,0.8813543060581729
energy_drink,juice,0.769062916589861,-0.769062916589861
energy_drink,soda,0.677343378092986,-0.677343378092986
sports_drink,energy_drink,-0.9092379555639273,0.9092379555639273
sports_drink,tea,-0.8869116780443808,0.8869116780443808
sports_drink,coffee_drink,-0.38916583383684594,0.38916583383684594
sports_drink,water_enhanced,-0.8898513537285073,0.8898513537285073
sports_drink,juice,0.7350693636093878,-0.7350693636093878
sports_drink,soda,0.6746898284291799,-0.6746898284291799
tea,energy_drink,-0.8876474347246276,0.8876474347246276
tea,sports_drink,-0.8869116780443808,0.8869116780443808
tea,coffee_drink,-0.3818464749389889,0.3818464749389889
tea,water_enhanced,-0.8773930122784103,0.8773930122784103
tea,juice,0.777076993049665,-0.777076993049665
tea,soda,0.5952806805654842,-0.5952806805654842
coffee_drink,energy_drink,-0.4730816156380086,0.4730816156380086
coffee_drink,sports_drink,-0.38916583383684594,0.38916583383684594
coffee_drink,tea,-0.3818464749389889,0.3818464749389889
coffee_drink,water_enhanced,-0.3499525279351911,0.3499525279351911
coffee_drink,juice,0.6757931450703135,-0.6757931450703135
coffee_drink,soda,0.32731761818044286,-0.32731761818044286
water_enhanced,energy_drink,-0.881354306058173,0.881354306058173
water_enhanced,sports_drink,-0.8898513537285072,0.8898513537285072
water_enhanced,tea,-0.8773930122784104,0.8773930122784104
water_enhanced,coffee_drink,-0.3499525279351911,0.3499525279351911
water_enhanced,juice,0.7127546451850925,-0.7127546451850925
water_enhanced,soda,0.665288004233051,-0.665288004233051
juice,energy_drink,0.769062916589861,-0.769062916589861
juice,sports_drink,0.7350693636093879,-0.7350693636093879
juice,tea,0.7770769930496649,-0.7770769930496649
juice,coffee_drink,0.6757931450703135,-0.6757931450703135
juice,water_enhanced,0.7127546451850926,-0.7127546451850926
juice,soda,-0.194141653617911,0.194141653617911
soda,energy_drink,0.677343378092986,-0.677343378092986
soda,sports_drink,0.6746898284291799,-0.6746898284291799
soda,tea,0.5952806805654842,-0.5952806805654842
soda,coffee_drink,0.32731761818044286,-0.32731761818044286
soda,water_enhanced,0.665288004233051,-0.665288004233051
soda,juice,-0.194141653617911,0.194141653617911
