date,product_category,sales_value
2024-01-08,coffee_drink,674.2391472574292
2024-01-08,energy_drink,690.5519174949977
2024-01-08,soda,603.985987314859
2024-01-08,sports_drink,563.2116995547549
2024-01-08,tea,593.9393890924505
2024-01-08,water_enhanced,766.8781543750548
2024-01-09,coffee_drink,455.803628653994
2024-01-09,energy_drink,712.8856538951441
2024-01-09,soda,354.2820981272749
2024-01-09,sports_drink,472.97553728613786
2024-01-09,tea,683.9948351090815
2024-01-09,water_enhanced,569.3001449255028
2024-01-10,coffee_drink,756.2491917370851
2024-01-10,energy_drink,628.8099926967107
2024-01-10,soda,600.04157633755
2024-01-10,sports_drink,571.637469296391
2024-01-10,tea,844.9152002030604
2024-01-10,water_enhanced,794.3797352787931
2024-01-11,energy_drink,561.5185385461667
2024-01-11,juice,899.195584333102
2024-01-11,soda,763.301845893084
2024-01-11,sports_drink,590.7979216338338
2024-01-11,tea,637.344535282439
2024-01-11,water_enhanced,452.73093394342163
2024-01-12,coffee_drink,730.2229445511955
2024-01-12,energy_drink,352.31472807707985
2024-01-12,soda,542.1077895386703
2024-01-12,sports_drink,442.7420412182372
2024-01-12,tea,766.7355458173682
2024-01-12,water_enhanced,329.1862746666688
2024-01-13,energy_drink,490.0479906199593
2024-01-13,soda,705.4833146839624
2024-01-13,sports_drink,749.2487482071564
2024-01-13,tea,838.3049914585204
2024-01-13,water_enhanced,574.419739976615
2024-01-14,coffee_drink,495.05433289572017
2024-01-14,energy_drink,487.9191602073134
2024-01-14,sports_drink,597.2935576805336
2024-01-14,tea,525.9137790590743
2024-01-14,water_enhanced,736.3261312129866
2024-01-15,coffee_drink,855.8349894748098
2024-01-15,energy_drink,628.9106483446603
2024-01-15,soda,651.0960642690968
2024-01-15,sports_drink,631.7678327204935
2024-01-15,tea,550.7191886899257
2024-01-15,water_enhanced,969.6857935404084
2024-01-16,coffee_drink,733.1810458941562
2024-01-16,energy_drink,832.9924995519539
2024-01-16,juice,366.72143084838274
2024-01-16,soda,506.67472598872433
2024-01-16,sports_drink,593.1148111287026
2024-01-16,tea,710.3616704205365
2024-01-16,water_enhanced,615.7557826621314
2024-01-17,coffee_drink,508.89965879449153
2024-01-17,energy_drink,706.5353268915123
2024-01-17,sports_drink,731.2054278526855
2024-01-17,tea,584.5844954871583
2024-01-17,water_enhanced,868.9272531450844
2024-01-18,coffee_drink,594.0677039177872
2024-01-18,energy_drink,819.4913281914254
2024-01-18,juice,764.3064067054582
2024-01-18,soda,628.592360019596
2024-01-18,sports_drink,489.1445510782812
2024-01-18,tea,668.4217529840158
2024-01-18,water_enhanced,846.3447940010518
2024-01-19,coffee_drink,615.7776622976482
2024-01-19,energy_drink,444.13333482863607
2024-01-19,juice,563.2457413068895
2024-01-19,soda,539.1552657156215
2024-01-19,sports_drink,449.6278088717615
2024-01-19,tea,473.62035059112355
2024-01-20,coffee_drink,686.6030986403946
2024-01-20,energy_drink,572.1373774291692
2024-01-20,juice,851.2960995067816
2024-01-20,sports_drink,611.9819617343818
2024-01-20,tea,713.2100786582948
2024-01-20,water_enhanced,575.5975715792184
2024-01-21,energy_drink,648.7852755850213
2024-01-21,soda,578.8463631803256
2024-01-21,sports_drink,644.4109825201757
2024-01-21,tea,643.1951621131491
2024-01-21,water_enhanced,464.06490749624726
2024-01-22,coffee_drink,759.235545390865
2024-01-22,energy_drink,653.5074827930697
2024-01-22,juice,440.03583779073193
2024-01-22,soda,700.6272116098547
2024-01-22,sports_drink,672.4726527662476
2024-01-22,tea,705.9636154623772
2024-01-22,water_enhanced,444.49446538326
2024-01-23,coffee_drink,694.4088436078451
2024-01-23,energy_drink,454.76917063693224
2024-01-23,soda,695.2187002067202
2024-01-23,sports_drink,475.70162516005956
2024-01-23,tea,527.0332957819008
2024-01-24,coffee_drink,710.1340813702536
2024-01-24,energy_drink,581.8550826588017
2024-01-24,juice,513.825468480989
2024-01-24,soda,575.0556421074168
2024-01-24,sports_drink,634.9684574707948
2024-01-24,tea,518.7659536366443
2024-01-24,water_enhanced,587.3324892014732
2024-01-25,coffee_drink,423.8189567444434
2024-01-25,energy_drink,760.9992945505508
2024-01-25,sports_drink,573.229286369802
2024-01-25,tea,831.585460516472
2024-01-25,water_enhanced,689.4789668097363
2024-01-26,coffee_drink,673.9714346121627
2024-01-26,energy_drink,703.470728365767
2024-01-26,soda,759.866101336207
2024-01-26,sports_drink,880.9402978945767
2024-01-26,tea,700.0284705959729
2024-01-26,water_enhanced,953.2348210904403
2024-01-27,coffee_drink,719.1754962493545
2024-01-27,energy_drink,689.3630021092952
2024-01-27,sports_drink,679.9190478401974
2024-01-27,tea,661.3132322495779
2024-01-27,water_enhanced,509.36680092065114
2024-01-28,energy_drink,516.9614227139396
2024-01-28,soda,456.64490903830796
2024-01-28,sports_drink,417.86981004868113
2024-01-28,tea,433.33597047315584
2024-01-28,water_enhanced,700.4592217409285
2024-01-29,coffee_drink,352.52966854655546
2024-01-29,energy_drink,497.37966116488724
2024-01-29,juice,488.4041555274177
2024-01-29,soda,727.9231731933498
2024-01-29,sports_drink,580.8457694275604
2024-01-29,tea,896.2293820526177
