date,product_category,intent_index,momentum,momentum_pct,window_days
2024-01-01,coffee_drink,0.656697952747345,0,0,30
2024-01-03,coffee_drink,0.6688312888145447,0,0,30
2024-01-04,coffee_drink,0.6430739164352417,0,0,30
2024-01-05,coffee_drink,0.6242278814315796,0,0,30
2024-01-06,coffee_drink,0.5858696103096008,0,0,30
2024-01-07,coffee_drink,0.6556597749392191,0,0,30
2024-01-08,coffee_drink,0.6306454539299011,0,0,30
2024-01-09,coffee_drink,0.6232659369707108,0,0,30
2024-01-11,coffee_drink,0.61839759349823,0,0,30
2024-01-12,coffee_drink,0.6168493032455444,0,0,30
2024-01-13,coffee_drink,0.6152834892272949,0,0,30
2024-01-14,coffee_drink,0.5959404408931732,0,0,30
2024-01-15,coffee_drink,0.5847367644309998,0,0,30
2024-01-16,coffee_drink,0.6529019773006439,0,0,30
2024-01-17,coffee_drink,0.596204936504364,0,0,30
2024-01-19,coffee_drink,0.711763322353363,0,0,30
2024-01-20,coffee_drink,0.6393677294254303,0,0,30
2024-01-21,coffee_drink,0.6012217700481415,0,0,30
2024-01-22,coffee_drink,0.6437677343686422,0,0,30
2024-01-23,coffee_drink,0.6974453032016754,0,0,30
2024-01-24,coffee_drink,0.6293950080871582,0,0,30
2024-01-25,coffee_drink,0.6089856227238973,0,0,30
2024-01-26,coffee_drink,0.5870728492736816,0,0,30
2024-01-28,coffee_drink,0.6348057985305786,0,0,30
2024-01-29,coffee_drink,0.585169514020284,0,0,30
2024-01-30,coffee_drink,0.6088979244232178,0,0,30
2024-01-01,energy_drink,0.5926320950190226,0,0,30
2024-01-02,energy_drink,0.6421558856964111,0,0,30
2024-01-03,energy_drink,0.6037609726190567,0,0,30
2024-01-04,energy_drink,0.599577009677887,0,0,30
2024-01-05,energy_drink,0.5631240208943685,0,0,30
2024-01-06,energy_drink,0.644821286201477,0,0,30
2024-01-07,energy_drink,0.6477811932563782,0,0,30
2024-01-08,energy_drink,0.6071415940920512,0,0,30
2024-01-09,energy_drink,0.629440575838089,0,0,30
2024-01-10,energy_drink,0.591187596321106,0,0,30
2024-01-11,energy_drink,0.6792581379413605,0,0,30
2024-01-12,energy_drink,0.5978138645490011,0,0,30
2024-01-14,energy_drink,0.5688203573226929,0,0,30
2024-01-15,energy_drink,0.6011886199315389,0,0,30
2024-01-16,energy_drink,0.6487494707107544,0,0,30
2024-01-17,energy_drink,0.6440676152706146,0,0,30
2024-01-18,energy_drink,0.6388563275337219,0,0,30
2024-01-19,energy_drink,0.6354395896196365,0,0,30
2024-01-20,energy_drink,0.6505321462949117,0,0,30
2024-01-23,energy_drink,0.669447124004364,0,0,30
2024-01-24,energy_drink,0.6454958915710449,0,0,30
2024-01-26,energy_drink,0.6070688366889954,0,0,30
2024-01-27,energy_drink,0.6016906499862671,0,0,30
2024-01-28,energy_drink,0.5960497558116913,0,0,30
2024-01-29,energy_drink,0.6112895011901855,0,0,30
2024-01-30,energy_drink,0.6092349886894226,0,0,30
2024-01-01,soda,0.5895666182041168,0,0,30
2024-01-02,soda,0.646877259016037,0,0,30
2024-01-03,soda,0.6406239867210388,0,0,30
2024-01-04,soda,0.7433558702468872,0,0,30
2024-01-05,soda,0.6403161287307739,0,0,30
2024-01-06,soda,0.6349775344133377,0,0,30
2024-01-08,soda,0.5947489440441132,0,0,30
2024-01-12,soda,0.640008270740509,0,0,30
2024-01-13,soda,0.6648560166358948,0,0,30
2024-01-14,soda,0.6871688961982727,0,0,30
2024-01-16,soda,0.5962766408920288,0,0,30
2024-01-17,soda,0.5981586575508118,0,0,30
2024-01-18,soda,0.6168202310800552,0,0,30
2024-01-20,soda,0.5974684953689575,0,0,30
2024-01-22,soda,0.6311261653900146,0,0,30
2024-01-23,soda,0.598212480545044,0,0,30
2024-01-25,soda,0.589452862739563,0,0,30
2024-01-27,soda,0.6295774877071381,0,0,30
2024-01-28,soda,0.6444721817970276,0,0,30
2024-01-30,soda,0.6176583766937256,0,0,30
2024-01-02,tea,0.623298168182373,0,0,30
2024-01-05,tea,0.5949956774711609,0,0,30
2024-01-09,tea,0.6084555983543396,0,0,30
2024-01-12,tea,0.6088230311870575,0,0,30
2024-01-13,tea,0.6087977290153503,0,0,30
2024-01-15,tea,0.6221947073936462,0,0,30
2024-01-17,tea,0.5899278819561005,0,0,30
2024-01-19,tea,0.6118274331092834,0,0,30
2024-01-20,tea,0.5928072333335876,0,0,30
2024-01-21,tea,0.596603512763977,0,0,30
2024-01-22,tea,0.606039822101593,0,0,30
2024-01-23,tea,0.7024056315422058,0,0,30
2024-01-24,tea,0.60242760181427,0,0,30
2024-01-25,tea,0.6053748428821564,0,0,30
2024-01-27,tea,0.6686580181121826,0,0,30
2024-01-28,tea,0.6128351092338562,0,0,30
2024-01-29,tea,0.596057116985321,0,0,30
2024-01-30,tea,0.6067688465118408,0,0,30
2024-01-02,water_enhanced,0.6413891553878784,0,0,30
2024-01-03,water_enhanced,0.6068538427352905,0,0,30
2024-01-04,water_enhanced,0.6353346705436707,0,0,30
2024-01-05,water_enhanced,0.6219109296798706,0,0,30
2024-01-06,water_enhanced,0.6338831186294556,0,0,30
2024-01-07,water_enhanced,0.6331883370876312,0,0,30
2024-01-08,water_enhanced,0.6493842601776123,0,0,30
2024-01-09,water_enhanced,0.6504375338554382,0,0,30
2024-01-10,water_enhanced,0.6171589664050511,0,0,30
2024-01-11,water_enhanced,0.6186649680137635,0,0,30
2024-01-12,water_enhanced,0.6414089997609457,0,0,30
2024-01-13,water_enhanced,0.6016015708446503,0,0,30
2024-01-14,water_enhanced,0.6243515312671661,0,0,30
2024-01-15,water_enhanced,0.6283166766166687,0,0,30
2024-01-16,water_enhanced,0.6162159889936447,0,0,30
2024-01-17,water_enhanced,0.6340261300404867,0,0,30
2024-01-18,water_enhanced,0.6778315901756287,0,0,30
2024-01-19,water_enhanced,0.6352657824754715,0,0,30
2024-01-20,water_enhanced,0.6227506995201111,0,0,30
2024-01-21,water_enhanced,0.6255693435668945,0,0,30
2024-01-23,water_enhanced,0.6224087625741959,0,0,30
2024-01-24,water_enhanced,0.6119326949119568,0,0,30
2024-01-25,water_enhanced,0.6099193096160889,0,0,30
2024-01-26,water_enhanced,0.6134351342916489,0,0,30
2024-01-27,water_enhanced,0.6117657423019409,0,0,30
2024-01-28,water_enhanced,0.6321402788162231,0,0,30
2024-01-29,water_enhanced,0.6363667398691177,0,0,30
2024-01-30,water_enhanced,0.6227349440256754,0,0,30
2024-01-04,juice,0.5974434614181519,0,0,30
2024-01-07,juice,0.6031578183174133,0,0,30
2024-01-08,juice,0.6825367212295532,0,0,30
2024-01-10,juice,0.7106947898864746,0,0,30
2024-01-13,juice,0.6755065023899078,0,0,30
2024-01-16,juice,0.6685127317905426,0,0,30
2024-01-20,juice,0.6042814552783966,0,0,30
2024-01-21,juice,0.7684908509254456,0,0,30
2024-01-22,juice,0.7029039263725281,0,0,30
2024-01-24,juice,0.6683257222175598,0,0,30
2024-01-26,juice,0.7399289011955261,0,0,30
2024-01-27,juice,0.6712371110916138,0,0,30
2024-01-28,juice,0.6640350520610809,0,0,30
2024-01-29,juice,0.7010924220085144,0,0,30
2024-01-30,juice,0.7271655797958374,0,0,30
2024-01-04,sports_drink,0.6068987846374512,0,0,30
2024-01-07,sports_drink,0.6646843254566193,0,0,30
2024-01-10,sports_drink,0.6612771153450012,0,0,30
2024-01-13,sports_drink,0.6429648995399475,0,0,30
2024-01-14,sports_drink,0.6379285454750061,0,0,30
2024-01-17,sports_drink,0.618177592754364,0,0,30
2024-01-21,sports_drink,0.6225861112276713,0,0,30
2024-01-22,sports_drink,0.627610832452774,0,0,30
2024-01-24,sports_drink,0.6324335932731628,0,0,30
2024-01-27,sports_drink,0.60727459192276,0,0,30
2024-01-28,sports_drink,0.6148256659507751,0,0,30
2024-01-30,sports_drink,0.6139547228813171,0,0,30
