from_category,to_category,substitution_score,correlation
coffee_drink,energy_drink,-0.09957585354405668,0.09957585354405668
coffee_drink,soda,0.11479661461914885,-0.11479661461914885
coffee_drink,tea,0.06397141450102801,-0.06397141450102801
coffee_drink,water_enhanced,0.14860990039377595,-0.14860990039377595
coffee_drink,juice,0.29015363819217854,-0.29015363819217854
coffee_drink,sports_drink,0.39463644406236587,-0.39463644406236587
energy_drink,coffee_drink,-0.09957585354405668,0.09957585354405668
energy_drink,soda,0.01151836229477697,-0.01151836229477697
energy_drink,tea,0.40646620744255835,-0.40646620744255835
energy_drink,water_enhanced,-0.4308785471464366,0.4308785471464366
energy_drink,juice,0.40847645372048225,-0.40847645372048225
energy_drink,sports_drink,0.49644372145307736,-0.49644372145307736
soda,coffee_drink,0.11479661461914886,-0.11479661461914886
soda,energy_drink,0.01151836229477697,-0.01151836229477697
soda,tea,0.18014914156130094,-0.18014914156130094
soda,water_enhanced,0.21408962950286292,-0.21408962950286292
soda,juice,0.4071725418025608,-0.4071725418025608
soda,sports_drink,0.21817416510246382,-0.21817416510246382
tea,coffee_drink,0.06397141450102801,-0.06397141450102801
tea,energy_drink,0.4064662074425583,-0.4064662074425583
tea,soda,0.18014914156130094,-0.18014914156130094
tea,water_enhanced,0.07396485318928232,-0.07396485318928232
tea,juice,0.2125265001373134,-0.2125265001373134
tea,sports_drink,0.11525011737756378,-0.11525011737756378
water_enhanced,coffee_drink,0.14860990039377595,-0.14860990039377595
water_enhanced,energy_drink,-0.43087854714643653,0.43087854714643653
water_enhanced,soda,0.21408962950286295,-0.21408962950286295
water_enhanced,tea,0.07396485318928232,-0.07396485318928232
water_enhanced,juice,0.3104986508575473,-0.3104986508575473
water_enhanced,sports_drink,0.3848550101595327,-0.3848550101595327
juice,coffee_drink,0.29015363819217854,-0.29015363819217854
juice,energy_drink,0.40847645372048225,-0.40847645372048225
juice,soda,0.4071725418025608,-0.4071725418025608
juice,tea,0.2125265001373134,-0.2125265001373134
juice,water_enhanced,0.31049865085754724,-0.31049865085754724
juice,sports_drink,-0.4822774398929471,0.4822774398929471
sports_drink,coffee_drink,0.39463644406236587,-0.39463644406236587
sports_drink,energy_drink,0.49644372145307736,-0.49644372145307736
sports_drink,soda,0.2181741651024638,-0.2181741651024638
sports_drink,tea,0.1152501173775638,-0.1152501173775638
sports_drink,water_enhanced,0.3848550101595328,-0.3848550101595328
sports_drink,juice,-0.4822774398929471,0.4822774398929471
