date,product_category,intent_mean,intent_std,intent_count
2024-01-01,coffee_drink,0.656697952747345,0.05509156827479053,5
2024-01-01,energy_drink,0.5926320950190226,0.006109372652833591,3
2024-01-01,soda,0.5895666182041168,0.008122582791868008,2
2024-01-02,energy_drink,0.6421558856964111,0.11451585338979782,2
2024-01-02,soda,0.646877259016037,0.03940262505750121,2
2024-01-02,tea,0.623298168182373,,1
2024-01-02,water_enhanced,0.6413891553878784,0.036476145952173245,5
2024-01-03,coffee_drink,0.6688312888145447,0.07402326868295639,2
2024-01-03,energy_drink,0.6037609726190567,0.016285603529576063,4
2024-01-03,soda,0.6406239867210388,0.0646925464785236,2
2024-01-03,water_enhanced,0.6068538427352905,0.0033873422148205535,2
2024-01-04,coffee_drink,0.6430739164352417,0.03993885941110532,2
2024-01-04,energy_drink,0.599577009677887,,1
2024-01-04,juice,0.5974434614181519,,1
2024-01-04,soda,0.7433558702468872,,1
2024-01-04,sports_drink,0.6068987846374512,,1
2024-01-04,water_enhanced,0.6353346705436707,0.008966246035540724,4
2024-01-05,coffee_drink,0.6242278814315796,0.014925237652867494,3
2024-01-05,energy_drink,0.5631240208943685,0.020928114534658957,3
2024-01-05,soda,0.6403161287307739,,1
2024-01-05,tea,0.5949956774711609,,1
2024-01-05,water_enhanced,0.6219109296798706,0.024836379184196657,2
2024-01-06,coffee_drink,0.5858696103096008,,1
2024-01-06,energy_drink,0.644821286201477,0.04916789331948502,4
2024-01-06,soda,0.6349775344133377,0.041216082817395146,4
2024-01-06,water_enhanced,0.6338831186294556,,1
2024-01-07,coffee_drink,0.6556597749392191,0.06836600621993867,3
2024-01-07,energy_drink,0.6477811932563782,0.05777388841436928,2
2024-01-07,juice,0.6031578183174133,,1
2024-01-07,sports_drink,0.6646843254566193,0.03474699987729083,2
2024-01-07,water_enhanced,0.6331883370876312,0.01600016595334219,2
2024-01-08,coffee_drink,0.6306454539299011,,1
2024-01-08,energy_drink,0.6071415940920512,0.025059878969280792,3
2024-01-08,juice,0.6825367212295532,0.06804128218010817,2
2024-01-08,soda,0.5947489440441132,0.0029804143924478713,2
2024-01-08,water_enhanced,0.6493842601776123,0.00464399265002137,2
2024-01-09,coffee_drink,0.6232659369707108,0.03143432154994503,4
2024-01-09,energy_drink,0.629440575838089,0.030865359423134515,2
2024-01-09,tea,0.6084555983543396,0.0027852323369939214,2
2024-01-09,water_enhanced,0.6504375338554382,0.00803209350811512,2
2024-01-10,energy_drink,0.591187596321106,,1
2024-01-10,juice,0.7106947898864746,,1
2024-01-10,sports_drink,0.6612771153450012,,1
2024-01-10,water_enhanced,0.6171589664050511,0.01993555898455503,7
