date,product_category,sales_value
2024-01-08,coffee_drink,566.2926672556748
2024-01-08,energy_drink,797.0055402320229
2024-01-08,soda,671.784615937571
2024-01-09,energy_drink,553.8351159804402
2024-01-09,soda,733.7867420341014
2024-01-09,tea,754.5970413500098
2024-01-09,water_enhanced,540.0142392120931
2024-01-10,coffee_drink,578.6744247451599
2024-01-10,energy_drink,517.7229186016737
2024-01-10,soda,789.9110666533575
2024-01-10,water_enhanced,730.345188724974
2024-01-11,coffee_drink,887.1328324371386
2024-01-11,energy_drink,769.9474956548829
2024-01-11,soda,459.5767403514602
2024-01-11,sports_drink,537.5126855660151
2024-01-11,water_enhanced,479.145042067592
2024-01-12,coffee_drink,531.8452687732325
2024-01-12,energy_drink,560.8265642323363
2024-01-12,soda,720.4404522358199
2024-01-12,tea,459.4065636454589
2024-01-12,water_enhanced,356.7757336469899
2024-01-13,coffee_drink,623.8123870849279
2024-01-13,energy_drink,990.4254794693086
2024-01-13,soda,630.0214931974151
2024-01-13,water_enhanced,624.2252119494696
2024-01-14,coffee_drink,894.8561417481666
2024-01-14,energy_drink,729.1737528089253
2024-01-14,juice,566.913667012876
2024-01-14,sports_drink,742.8079264179775
2024-01-14,water_enhanced,657.1657964162237
2024-01-15,coffee_drink,518.6167192172147
2024-01-15,energy_drink,460.7483848146636
2024-01-15,juice,955.706666419401
2024-01-15,soda,547.7909747235267
2024-01-15,water_enhanced,650.9210517628907
2024-01-16,coffee_drink,611.0364281050437
2024-01-16,energy_drink,728.1011293321611
2024-01-16,tea,875.3515450965922
2024-01-16,water_enhanced,732.0492487752776
2024-01-17,energy_drink,511.3038882245552
2024-01-17,juice,706.1443178157272
2024-01-17,sports_drink,803.2326439927526
2024-01-17,water_enhanced,535.3878821411683
2024-01-18,coffee_drink,715.8565908719534
2024-01-18,energy_drink,364.8038693022488
2024-01-18,water_enhanced,588.8059128986926
2024-01-19,coffee_drink,628.5680129127583
2024-01-19,energy_drink,781.1203741651526
2024-01-19,soda,534.1335325435402
2024-01-19,tea,468.30514690048983
2024-01-19,water_enhanced,586.4894077539572
2024-01-20,coffee_drink,499.531395849524
2024-01-20,juice,623.7868399650392
2024-01-20,soda,618.5624317092863
2024-01-20,sports_drink,487.0823365250862
2024-01-20,tea,752.6608373963131
2024-01-20,water_enhanced,592.6679320333587
2024-01-21,coffee_drink,691.9729520627097
2024-01-21,energy_drink,407.8383249119026
2024-01-21,sports_drink,479.62271044138686
2024-01-21,water_enhanced,650.6827601901856
2024-01-22,coffee_drink,524.1264128849681
2024-01-22,energy_drink,539.746877121287
2024-01-22,tea,631.514688576767
2024-01-22,water_enhanced,652.4899055941028
2024-01-23,coffee_drink,578.2465423263125
2024-01-23,energy_drink,701.9272132695293
2024-01-23,juice,608.1263571327573
2024-01-23,soda,703.5747883625046
2024-01-23,water_enhanced,573.5428655457291
2024-01-24,coffee_drink,674.4176829868777
2024-01-24,energy_drink,983.0437414668177
2024-01-24,soda,539.5540042115922
2024-01-24,sports_drink,840.1392290747439
2024-01-24,tea,263.6862976905477
2024-01-24,water_enhanced,373.0107346678171
2024-01-25,energy_drink,507.20592250610247
2024-01-25,soda,488.09335938707403
2024-01-25,water_enhanced,691.6747405363462
2024-01-26,coffee_drink,790.7926408368123
2024-01-26,energy_drink,585.0555028220389
2024-01-26,tea,582.6493249853248
2024-01-26,water_enhanced,684.8540899647327
2024-01-27,coffee_drink,752.0963083974962
2024-01-27,energy_drink,457.84081083220184
2024-01-27,juice,535.6714534224949
2024-01-27,soda,599.7086497602941
2024-01-27,tea,625.8542438835282
2024-01-27,water_enhanced,562.7177264763192
2024-01-28,coffee_drink,697.7394148844102
2024-01-28,sports_drink,622.6581196167799
