date,week,brand,region,revenue,price,promotion,holiday
2022-01-03,0,McDonalds,Northeast,55830.76723143511,10.309824267031935,False,True
2022-01-03,0,McDonalds,South,76206.2739069663,9.56752771086988,False,True
2022-01-03,0,McDonalds,Midwest,56064.36309808933,10.309824267031935,False,True
2022-01-03,0,McDonalds,West,27552.076024806698,10.309824267031935,False,True
2022-01-03,0,McDonalds,Southwest,65032.79992742831,10.309824267031935,True,True
2022-01-03,0,BurgerKing,Northeast,15397.381058976041,14.7353013664426,False,True
2022-01-03,0,BurgerKing,South,74613.61495819215,14.7353013664426,False,True
2022-01-03,0,BurgerKing,Midwest,24316.42342976821,14.7353013664426,False,True
2022-01-03,0,BurgerKing,West,84147.4164593456,14.7353013664426,False,True
2022-01-03,0,BurgerKing,Southwest,73786.9105412733,14.7353013664426,False,True
2022-01-03,0,Wendys,Northeast,73564.20390958751,14.310400957705244,False,True
2022-01-03,0,Wendys,South,21846.641173946195,13.304506506094905,False,True
2022-01-03,0,Wendys,Midwest,104392.14017861383,14.310400957705244,False,True
2022-01-03,0,Wendys,West,34765.42741696034,14.310400957705244,False,True
2022-01-03,0,Wendys,Southwest,52990.75770269432,14.310400957705244,False,True
2022-01-03,0,TacoBell,Northeast,137178.19294446995,9.892682647174594,False,True
2022-01-03,0,TacoBell,South,34555.35660561656,9.892682647174594,False,True
2022-01-03,0,TacoBell,Midwest,111287.70832829385,9.892682647174594,True,True
2022-01-03,0,TacoBell,West,35007.45447574253,9.892682647174594,False,True
2022-01-03,0,TacoBell,Southwest,85460.75514117998,11.311599684841996,False,True
2022-01-03,0,Subway,Northeast,59020.246348787965,13.624792437784993,False,True
2022-01-03,0,Subway,South,84670.59485361823,13.624792437784993,False,True
2022-01-03,0,Subway,Midwest,25381.0903864337,13.624792437784993,False,True
2022-01-03,0,Subway,West,124533.09686169866,13.624792437784993,False,True
2022-01-03,0,Subway,Southwest,57658.46400520953,13.624792437784993,False,True
2022-01-03,0,KFC,Northeast,31093.04408923769,14.969229412624541,False,True
2022-01-03,0,KFC,South,124523.31615263873,14.969229412624541,True,True
2022-01-03,0,KFC,Midwest,49472.93114620517,14.969229412624541,False,True
2022-01-03,0,KFC,West,100669.08141432022,14.969229412624541,False,True
2022-01-03,0,KFC,Southwest,31877.955048861855,14.969229412624541,False,True
2022-01-03,0,Dominos,Northeast,27753.24976356885,9.768641015198977,False,True
2022-01-03,0,Dominos,South,44629.93876802695,9.768641015198977,False,True
